,State,Total Derailments
0,IL,13312
1,TX,13293
2,PA,6667
3,CA,6487
4,OH,5931
5,IA,5476
6,MN,4705
7,MO,4482
8,NY,4068
9,IN,4053
10,KS,3956
11,NE,3621
12,LA,3543
13,GA,3533
14,TN,3457
15,WI,3280
16,KY,3244
17,AL,3031
18,MI,2901
19,AR,2774
20,WA,2736
21,OK,2564
22,VA,2373
23,FL,2225
24,WV,2169
25,MS,2134
26,OR,2116
27,CO,1997
28,WY,1854
29,MT,1733
30,NC,1637
31,NJ,1476
32,MD,1347
33,ND,1260
34,ID,1209
35,AZ,1197
36,SD,1139
37,UT,1028
38,SC,982
39,NM,936
40,MA,826
41,ME,598
42,NV,575
43,CT,338
44,DC,251
45,DE,238
46,VT,233
47,AK,184
48,NH,139
49,RI,39
